id,title,source,line,implementation_slices,status,evidence
A1,Workspace,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,241,"S01,S33",VERIFIED,S01: docs/implementation/s01-evidence.md; code 2424dd5bdadb76a63fdf485caff4bc66d7466781. Current slice verified; S33 repeats cross-application checks.
A2,Broker / Data Providers,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,247,"S02,S33",IN_PROGRESS,"docs/implementation/s02-alpaca-evidence.md (Alpaca task #6 verified at c36296ba0d121e54703555430542bb573146b2c4; other mapped work incomplete); Trading 212 task #7 verified at 5f487ec10c48eea6616dac91472abe38a8297b19: docs/implementation/s02-trading212-evidence.md; other mapped work incomplete.; Binance Spot task #8 verified at feea542bf07be13b4f4cd98eea1e81a243c7b230: docs/implementation/s02-binance-evidence.md; other mapped work incomplete.; Bitget #9: 7b5f32929cef26a784aadd44833793b5f569d330, s02-bitget-evidence.md; S02 integration/later mapped work remain incomplete"
A3,Provider Connection / Permission Review,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,256,"S02,S33",IN_PROGRESS,"docs/implementation/s02-alpaca-evidence.md (Alpaca task #6 verified at c36296ba0d121e54703555430542bb573146b2c4; other mapped work incomplete); Trading 212 task #7 verified at 5f487ec10c48eea6616dac91472abe38a8297b19: docs/implementation/s02-trading212-evidence.md; other mapped work incomplete.; Binance Spot task #8 verified at feea542bf07be13b4f4cd98eea1e81a243c7b230: docs/implementation/s02-binance-evidence.md; other mapped work incomplete.; Bitget #9: 7b5f32929cef26a784aadd44833793b5f569d330, s02-bitget-evidence.md; S02 integration/later mapped work remain incomplete"
A4,LLM Providers (Model),docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,291,"S03,S33",IN_PROGRESS,"docs/implementation/s03-routing-evidence.md; gateway, provider cards, default route, opt-in fallback, cooldown and attempt disclosure are verified for #13; #12 credentialed routes and native secure/OAuth evidence are complete, while S04 and S33 acceptance remain pending"
A5,Risk Defaults,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,313,"S21,S33",IMPLEMENTED_UNVERIFIED,"docs/implementation/s03-onboarding-evidence.md; Risk Defaults seven-field form, exact decimal validation, safe defaults and read-only rules accepted in #14 at c812ad6 through real desktop and supporting Rust-backed browser paths; full S21/S33 acceptance remains pending"
A6,Ready,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,327,"S03,S21,S33",IMPLEMENTED_UNVERIFIED,"docs/implementation/s03-onboarding-evidence.md; #14 Ready summary/gates accepted at c812ad6 through real desktop and supporting Rust-backed browser paths, including live gateway gate, All DISARMED and accurate Codex disabled reason; full S21/S33 acceptance remains pending"
B1,New Thread,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,341,"S04,S33",IMPLEMENTED_UNVERIFIED,#17 Thread creation/composer defaults and immediate history refresh: docs/implementation/s04-thread-evidence.md; #18 Turn send/runtime plus #19 cancel/retry are implemented with isolated fake/browser evidence at e544a3a
B2,Thread History / Resume,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,350,"S04,S33",IMPLEMENTED_UNVERIFIED,"#17 persisted Thread list/detail, workspace reopen and selector-owned defaults: docs/implementation/s04-thread-evidence.md; #19 cancellation/retry and restart reconciliation are implemented at e544a3a; cross-process upstream resume remains unverified"
B3,Ask Mode,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,354,"S05,S33",IMPLEMENTED_UNVERIFIED,"docs/implementation/s05-capability-evidence.md; #21 Ask/Research capability summary, read-only boundary and illegal-combination state verified at 6d479024ac0a62592e71fbb9b49acc106215fb90; #22 context catalog/account disclosure verified in s05-context-evidence.md; S33 cross-page regression remains pending"
B4,Composer Pickers,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,362,"S05,S33",IMPLEMENTED_UNVERIFIED,"docs/implementation/s05-context-evidence.md; #22 Context/Account picker, temporary Attach/Cancel/remove, availability disclosure, focus/inert and 390/768 browser checks; S33 full regression remains pending"
